feature,importance
PreviousDefault,0.4520259033923162
CreditScore,0.29495389200754224
Income,0.07627416481938225
LoanAmount,0.06311716107421066
Age,0.05605790673821815
EmploymentType,0.024041961648469095
LoanTerm,0.02128843626201506
ResidenceType,0.012240574057846502
